input,passive learning,active learning,constructive learning,interactive learning,other / not applicable (ICAP),ICAP validation,individual activity,individual product,collective activity,collective product,other / not applicable (social level),Social nature validation,orientation,conceptualisation,investigation,conclusion,discussion,other / not applicable (IBL),IBL validation,remember,understand,apply,analyze,evaluate,create,other / not applicable (Bloom),Bloom validation,retrieval,comprenhesion,analysis,knowledge utilization,other / not applicable (Marzano),Marzano validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Q6. State Hooke's Law </p>,0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,75%,25%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Q7. State one practical application of materials that;</p><p>(i) Obey Hooke's Law</p><p>(ii) Do not obey Hooke's Law</p>,0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,0%,50%,25%,25%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,75%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>ASSIGNMENT</p><p>State and explain various uses of elastic materials<br>What is the effect on (a) spring constant (b) extension when springs are connected as shown in the following diagrams?</p>,0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,0%,100%,0%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,0%,25%,75%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>More and more, we are using and relying on smart devices (smartphones, smartwatches, smart cars, smart virtual assistants) to help us and assist in our daily life. But how can we teach a machine to react to our words ? Watch the video, discuss  with your team and try to answer to the questions below.</p>",0%,0%,0%,100%,0%,TRUE,100%,0%,100%,100%,0%,TRUE,100%,0%,0%,0%,100%,0%,TRUE,0%,100%,0%,0%,0%,0%,0%,TRUE,25%,25%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>BUDDY is an endearing emotional robot that wins the heart of the whole family, including children and adults. And it is not his 60 cm high that will stop him in his quest for bringing the family around a new emotional experience.</p><p>Not content with being just an emotional companion, BUDDY is also democratizing robotics. BUDDY is built on an open technology platform making it easy for global developers to build applications.</p><p><br></p>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,25%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Discuss with your team and try to respond to the next questions.</p><p>1) How do you think that Buddy can interact with people?<br>2) How does it ""hear"", ""see"", or ""talk""?<br>3) How does it move?</p>",0%,0%,0%,100%,0%,TRUE,0%,0%,100%,100%,0%,TRUE,0%,0%,0%,0%,100%,0%,TRUE,0%,100%,0%,0%,0%,0%,0%,TRUE,0%,50%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Maybe you have come to some answers about how Buddy can respond to different requests. Think of Buddy as a computer. Watch the video bellow and try to resolve the quizzes!</p>,0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,25%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Computers are all around us, but what really makes a computer, a computer? Explore the history of computers and the features they all share.</p><p><br></p>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,25%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Me the A.I eTwinning Project 2019-2020 Create an algorithm! Put the sentences in the right place and teach a computer how to draw the letter L! Teacher: Lascaris Georgia, Greece",0%,100%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,0%,25%,25%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>So far, we have understand that robots, as Buddy are complex computers using Input devices (web camera, sensors, microphone...) to take informations from the environment, process them, and produce an adequate response using their output devices (monitor, headphones, movements...). But how can we program a robot to react for example to our commands? Next we will use Scratch programming to teach a robot to smile when we text it compliments and to be sad when we text it not very polite words.</p>",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,25%,25%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Next, complete the 3 hypotheses our robot has to face: when we text it a compliment, it smiles, when we text it a not very polite words, it looks sad , and we text it something it can't understand, it puts on its neutral face. Suppose that ""INPUT TEXT"" is the text we give as input to our robot.</p>",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,0%,0%,25%,25%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Watch carefully to video below and try to understand how the scratch commands as used to make a face respond (happy, sad, neutral) to the words we are texting. </p>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,25%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Select True or False</p>,0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,50%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Now, you are going to create your own program to ""teach"" a robot how to react to polite and no so polite words. </p><p>Go to <a href=""https://scratch.mit.edu"" target=""_blank"">https://scratch.mit.edu</a> , login into your account and create a new Scratch program. Make your robot-face react to at least 5 compliments and 5 not polite words. You can return at any time to the video for help and add if you wish more reactions to your robot. Save your work as A.I at the scratch platform.<br></p><p>Write down some of the difficulties you have faced.</p>",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,100%,0%,0%,0%,100%,0%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,0%,0%,25%,25%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Share your thoughts/ideas/suggestions of how you could improve this program to trace for example Speech Hate on Social Media.</p>,0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,0%,100%,0%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,0%,25%,25%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>We can program a robot or a program to react to the informations (Input)we give to it. It's like as we teach a child to learn something new. The more data ( in our case words) we provite it, the more accurate will be its reaction. This is the basic concept of Machine Learning. We teach a Machine/Computer/Robot by giving it a large set of data and help it, in a first place recognize (learn) the pattern so, later it could learn how to do it by itselft. This leads us to smart machines, machines with Artificial Intelligence! </p><p>Let's relax and have fun with this activity from Google AI Experiments , a ""showcase for simple experiments that make it easier for anyone to start exploring machine learning, through pictures, drawings, language, music, and more"". Think that someone has teach the program Quick Draw to recognize drawings. Now the program tries to figure out if your drawing is similar to hundred other drawings describing the same object, and this way, continues to learn.</p>",0%,100%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,50%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>A game where a neural net tries to guess what you’re drawing. Watch the tutorial video first and then click on the LAUNCH EXPERIMENT button below! </p>,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,50%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>We have seen that the quantity of data has a direct impact to how accurate will be the reactions of  our model (robot). But, what about the data quality?</p>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,0%,0%,0%,0%,100%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,25%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>How important do you think the quality of the data is? If the words we provided to our robot, weren't very accurate, what to you think the result would be? And if, for some reason (can you name any ?) we didn't teach it the right way ( for example provide unpolite words and learn the robot that they are compliments), what do you think the concequences would be? Do you think ETHICS are important when it comes to Machine Learning and Artificial Intelligence? Share your thoughts.</p>",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,0%,100%,0%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,0%,0%,50%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>What do we know about Black holes?</p><p><br></p>,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,50%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>This lesson will bring you to the world of Black Holes. But before you start this journey please answer a few questions by following the link below (This ILS was created for research purposes, contact the author for more information: rosa.doran(at)nuclio.pt:</p><p><br></p><p><a href=""https://docs.google.com/forms/d/1GB6wbDyKDp2Ryrexl5xe3URESxFxaaeOkUl1ND_shNA/viewform"" target=""_blank"">Pre-questionnaire for teachers</a></p><p><br></p><p><a target=""_blank"" href=""https://docs.google.com/forms/d/1rQsI-_KP4XBl0wyxNZpDMU-U1mi28CyiNHv0p-RN9VQ/viewform"">Pre-questioinnaire for students</a><br></p><p><br></p><p>In this project you will be invited to explore stellar black hole candidates just as scientists do. You will also have the opportunity to have your own research project and observe using research quality robotic telescopes. But before you start your scientific exploration it is important to learn a little bit more about black holes, from a theoretical point of view and from an observational point of view. Start by watching the suggested clips and discussing them with your teachers and colleagues. Start your own journal where you will describe the whole experience. Meanwhile welcome to ""Black Holes in my School"" adventure.<br></p><p><br></p><p style=""line-height: 26.6667px;"">Watch this episode of the wormhole series where Morgan Freeman present Black Holes in a brilliant way</p><p style=""line-height: 26.6667px;""><br></p><p><a href=""http://www.disclose.tv/action/viewvideo/121055/Through_The_Wormhole_The_Riddle_Of_Black_Holes/"" target=""_blank"">Through the wormhole - The Riddle of Black Holes</a><br></p><p><br></p><p style=""line-height: 26.6667px;"">Now that you already heard the basics about black hole, take another step and adventure watching the movie Interstellar.<br></p><p style=""line-height: 26.6667px;""><br></p><p style=""line-height: 26.6667px;""><br></p><p style=""line-height: 26.6667px;""><a href=""https://www.youtube.com/watch?v=Rt2LHkSwdPQ"" target=""_blank"">The movie trailer</a></p><p style=""line-height: 26.6667px;""><br></p><p>But before learn a bit more about the whole story behind the production of this movie and the scientist who wrote the story<br></p>",0%,0%,0%,100%,0%,TRUE,0%,100%,100%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,0%,TRUE,0%,25%,25%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Director Christopher Nolan and author Kip Thorne speak to TIME's Jeffrey Kluger about the physics of 2014 blockbuster Interstellar. There's no arguing about the blockbuster status of Interstellar, director Chris Nolan's latest box office phenomenon.",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,50%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
